column_name,column_location,layout_name,layout_location,,
14,,4,,,
Association ID,id=jqgh_jqGrid_association_id,job orders table,id=gbox_jqGrid,, 
Owner CID,id=jqgh_jqGrid_owner_customer_id,pagination,css=div.ui-paging-info > strong,,
Program Name,id=jqgh_jqGrid_association_name,,,,
Contact Name,id=jqgh_jqGrid_contact_name,,,,
Contact Number,id=jqgh_jqGrid_contact_number,,,,
Rebate Percentage,id=jqgh_jqGrid_rebate_percentage,,,,
Minimum Spend ($),id=jqgh_jqGrid_minimum_spend,,,,
Lifetime Spend ($),id=jqgh_jqGrid_lifetime_spend,,,,
Spend within Date Range ($),id=jqgh_jqGrid_spend_upto_date,,,,
Refunds within Date Range ($),id=jqgh_jqGrid_refund_upto_date,,,,
Rebate Sales ($),id=jqgh_jqGrid_rebatable_sales,,,,
Rebate Amount ($),id=jqgh_jqGrid_rebate_amount,,,,
