column_name,column_location,layout_name,layout_location,,
13,,5,,,
Invoice No.,id=jqgh_jqGrid_job_order_id,job orders table,id=gbox_jqGrid,, 
Website Code,id=jqgh_jqGrid_website_code,pagination,css=div.ui-paging-info > strong,,
Company Name,id=jqgh_jqGrid_company_name,Total,"css=td[title=""Total""]",,
Customer Name,id=jqgh_jqGrid_job_full_name,,,,
Terms,id=jqgh_jqGrid_term,,,,
Order Date,id=jqgh_jqGrid_order_datetime,,,,
Job Due Date,id=jqgh_jqGrid_due_date,,,,
Payment Status,id=jqgh_jqGrid_payment_status,,,,
Lock Status,id=jqgh_jqGrid_lock_status,,,,
Issued Credit Memo,id=jqgh_jqGrid_issued_credit_memo,,,,
Balance,id=jqgh_jqGrid_balance_due,,,,
