column_name,column_location,layout_name,layout_location,,
14,,4,,,
Customer ID,id=jqgh_jqGrid_customer_id,job orders table,id=gbox_jqGrid,, 
Company Code,id=jqgh_jqGrid_company_code,pagination,css=div.ui-paging-info > strong,,
Company Name,id=jqgh_jqGrid_company_name,,,,
Customer Name,id=jqgh_jqGrid_customer_name,,,,
Email,id=jqgh_jqGrid_email,,,,
Phone,id=jqgh_jqGrid_phone,,,,
Fax,id=jqgh_jqGrid_fax,,,,
Assigned To,id=jqgh_jqGrid_sales_team,,,,
Credit Limit,id=jqgh_jqGrid_credit_limit,,,,
Credit Limit Used,id=jqgh_jqGrid_credit_limit_used,,,,
Credit Limit Remaining,id=jqgh_jqGrid_credit_limit_remaining,,,,
Over 30 Days,id=jqgh_jqGrid_over_30_days_balance,,,,
