column_name,column_location,layout_name,layout_location,,
16,,5,,,
Credit Memo No.,id=jqgh_jqGrid_credit_memo_id,job orders table,id=gbox_jqGrid,, 
Customer Name,id=jqgh_jqGrid_customer_name,pagination,css=div.ui-paging-info > strong,,
Website Code,id=jqgh_jqGrid_website_code,Total,"css=td[title=""Total""]",,
Invoice No.,id=jqgh_jqGrid_job_order_id,,,,
Sales Rep,id=jqgh_jqGrid_sales_rep,,,,
Problem Ticket No.,id=jqgh_jqGrid_ticket_id,,,,
Origin of Issue,id=jqgh_jqGrid_origin_of_issue,,,,
Underlying Cause,id=jqgh_jqGrid_underlying_cause,,,,
Created Date,id=jqgh_jqGrid_transaction_date,,,,
Created By,id=jqgh_jqGrid_issued_by,,,,
Status,id=jqgh_jqGrid_credit_memo_status,,,,
Issued Date,id=jqgh_jqGrid_issued_date,,,,
Reason for Credit,id=jqgh_jqGrid_credit_memo_reason,,,,
Amount,id=jqgh_jqGrid_amount,,,,
