Click_link_name,click_link,Discount,Discount_columns,Sales tax,sales_tax_column,Paid receivables,paid_receivables_column,Payments,payments_columns,Credit Memo,credit_memo_column,Accounts Receivables,accounts_receivables_columns,total_amount,total_amount_location
8,,16,,12,,14,,14,,9,,9,,,
discount_link,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[2]/tr/td[4]/strong/a,Invoice No.,id=jqgh_jqGrid1_job_order_id,Invoice No.,id=jqgh_jqGrid1_job_order_id,Invoice No.,id=jqgh_jqGrid1_job_order_id,Invoice No.,id=jqgh_jqGrid1_job_order_id,Invoice No.,id=jqgh_jqGrid1_job_order_id,Invoice No.,id=jqgh_jqGrid1_job_order_id,total discount,//div[@id='gview_jqGrid1']/div[4]/div/table/tbody/tr/td[6]
sales_tax_link,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[4]/tr/td[4]/strong/a,Customer ID,id=jqgh_jqGrid1_customer_id,Website Code,id=jqgh_jqGrid1_website_code,Amount Paid,id=jqgh_jqGrid1_amount_paid,Cart/Invoice No.,xpath=(//div[@id='jqgh_jqGrid1_job_order_id'])[2],Website Code,id=jqgh_jqGrid1_website_code,Website Code,id=jqgh_jqGrid1_website_code,total sales tax,//div[@id='gview_jqGrid1']/div[4]/div/table/tbody/tr/td[10]
paid_receivables_link,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[8]/tr/td[4]/strong/a,Company Name,id=jqgh_jqGrid1_company_name,Customer ID,id=jqgh_jqGrid1_customer_id,Reference No.,id=jqgh_jqGrid1_reference,Website Code,id=jqgh_jqGrid1_website_code,Customer ID,id=jqgh_jqGrid1_customer_id,Customer ID,id=jqgh_jqGrid1_customer_id,total paid receivables,//div[@id='gview_jqGrid1']/div[4]/div/table/tbody/tr/td[2]
payments_link,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[9]/tr/td[4]/strong/a,Customer Name,id=jqgh_jqGrid1_customer_name,Company Name,id=jqgh_jqGrid1_company_name,Payment Date,id=jqgh_jqGrid1_payment_date,Customer ID,id=jqgh_jqGrid1_customer_id,Company Name,id=jqgh_jqGrid1_company_name,Company Name,id=jqgh_jqGrid1_company_name,total payments,//div[@id='gview_jqGrid1']/div[4]/div/table/tbody/tr/td[12]
credit_memo_link,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[17]/tr/td[4]/strong/a,Order Amount,id=jqgh_jqGrid1_total_amount,Customer Name,id=jqgh_jqGrid1_customer_name,Customer ID,id=jqgh_jqGrid1_customer_id,Payment No.,id=jqgh_jqGrid1_payment_id,Customer Name,id=jqgh_jqGrid1_customer_name,Customer Name,id=jqgh_jqGrid1_customer_name,total credit memo,//div[@id='gview_jqGrid1']/div[4]/div/table/tbody/tr/td[7]
accounts_receivables_link,//div[@id='wid-id-1']/div/div[2]/div/table/tbody[18]/tr/td[4]/strong/a,Discount,id=jqgh_jqGrid1_discount,Country,id=jqgh_jqGrid1_county,Company Name,id=jqgh_jqGrid1_company_name,Payment Date,id=jqgh_jqGrid1_payment_date,Order Amount,id=jqgh_jqGrid1_total_amount,Terms,id=jqgh_jqGrid1_term,total accounts receivables,//div[@id='gview_jqGrid1']/div[4]/div/table/tbody/tr/td[7]
,,Discount Reason Code,id=jqgh_jqGrid1_discount_reason_code,City,id=jqgh_jqGrid1_city,Term Code,id=jqgh_jqGrid1_term_code,User,id=jqgh_jqGrid1_user_name,Amount,id=jqgh_jqGrid1_amount,Balance Due,id=jqgh_jqGrid1_balance_due,,
,,Website Code,id=jqgh_jqGrid1_website_code,Taxable Amount,id=jqgh_jqGrid1_taxable_amount,Website Code,id=jqgh_jqGrid1_website_code,Company Name,id=jqgh_jqGrid1_company_name,,,,,,
,,Discount Percentage,id=jqgh_jqGrid1_discount_percentage,Tax Rate,id=jqgh_jqGrid1_tax_rate,Customer Name,id=jqgh_jqGrid1_customer_name,Customer Name,id=jqgh_jqGrid1_customer_name,,,,,,
,,Company Code,id=jqgh_jqGrid1_company_code,Sales Tax,id=jqgh_jqGrid1_tax,Company Code,id=jqgh_jqGrid1_company_code,Payment Method,id=jqgh_jqGrid1_payment_method,,,,,,
,,Reason For Discount,id=jqgh_jqGrid1_discount_reason,,,Term,id=jqgh_jqGrid1_term,Reference No.,id=jqgh_jqGrid1_reference,,,,,,
,,Coupon Code,id=jqgh_jqGrid1_coupon_code,,,Payment Method,id=jqgh_jqGrid1_payment_method,Amount Paid,id=jqgh_jqGrid1_amount_paid,,,,,,
,,Applied Date,id=jqgh_jqGrid1_applied_datetime,,,,,,,,,,,,
,,Applied By,id=jqgh_jqGrid1_applied_by,,,,,,,,,,,,
