column_name,column_location,total_amounts_cell,total_amounts_cell_location,,,,,,,,,,,
18,,17,,,,,,,,,,,,
Sales Rep,id=jqgh_jqGrid_sales_rep,No. of Accounts Assigned total amount,//div[@id='gview_jqGrid']/div[4]/div/table/tbody/tr/td[3],,,,,,,,,,,
No. of Accounts Assigned,id=jqgh_jqGrid_accounts_assigned,Orders in Date Range total amount,//div[@id='gview_jqGrid']/div[4]/div/table/tbody/tr/td[4],,,,,,,,,,,
Orders in Date Range,id=jqgh_jqGrid_orders,Sales in Date Range total amount,//div[@id='gview_jqGrid']/div[4]/div/table/tbody/tr/td[5],,,,,,,,,,,
Sales in Date Range,id=jqgh_jqGrid_sales,CY - Orders MTD total amount,//div[@id='gview_jqGrid']/div[4]/div/table/tbody/tr/td[6],,,,,,,,,,,
CY - Orders MTD,id=jqgh_jqGrid_mtd_orders,CY - Sales MTD total amount,//div[@id='gview_jqGrid']/div[4]/div/table/tbody/tr/td[7],,,,,,,,,,,
CY - Sales MTD,id=jqgh_jqGrid_mtd_sales,CY - Orders QTD total amount,//div[@id='gview_jqGrid']/div[4]/div/table/tbody/tr/td[8],,,,,,,,,,,
CY - Orders QTD,id=jqgh_jqGrid_qtd_orders,CY - Sales QTD total amount,//div[@id='gview_jqGrid']/div[4]/div/table/tbody/tr/td[9],,,,,,,,,,,
CY - Sales QTD,id=jqgh_jqGrid_qtd_sales,CY - Orders YTD total amount,//div[@id='gview_jqGrid']/div[4]/div/table/tbody/tr/td[10],,,,,,,,,,,
CY - Orders YTD,id=jqgh_jqGrid_ytd_orders,CY - Sales YTD total amount,//div[@id='gview_jqGrid']/div[4]/div/table/tbody/tr/td[11],,,,,,,,,,,
CY - Sales YTD,id=jqgh_jqGrid_ytd_sales,PY - Orders MTD total amount,//div[@id='gview_jqGrid']/div[4]/div/table/tbody/tr/td[12],,,,,,,,,,,
PY - Orders MTD,id=jqgh_jqGrid_py_mtd_orders,PY - Sales MTD total amount,//div[@id='gview_jqGrid']/div[4]/div/table/tbody/tr/td[13],,,,,,,,,,,
PY - Sales MTD,id=jqgh_jqGrid_py_mtd_sales,PY - Orders QTD total amount,//div[@id='gview_jqGrid']/div[4]/div/table/tbody/tr/td[14],,,,,,,,,,,
PY - Orders QTD,id=jqgh_jqGrid_py_qtd_orders,PY - Sales QTD total amount,//div[@id='gview_jqGrid']/div[4]/div/table/tbody/tr/td[15],,,,,,,,,,,
PY - Sales QTD,id=jqgh_jqGrid_py_qtd_sales,PY - Orders YTD total amount,//div[@id='gview_jqGrid']/div[4]/div/table/tbody/tr/td[16],,,,,,,,,,,
PY - Orders YTD,id=jqgh_jqGrid_py_ytd_orders,PY - Sales YTD total amount,//div[@id='gview_jqGrid']/div[4]/div/table/tbody/tr/td[17],,,,,,,,,,,
PY - Sales YTD,id=jqgh_jqGrid_py_ytd_sales,,,,,,,,,,,,,
