column_name,column_location,layout_name,layout_location
39,,4,
Invoice No.,id=jqgh_jqGrid_job_order_id,job orders items table,id=gbox_jqGrid
PO No.,id=jqgh_jqGrid_customer_po_num,pagination,css=div.ui-paging-info > strong
Item No.,id=jqgh_jqGrid_job_item_id,,
Project Name,id=jqgh_jqGrid_project_name,,
Website Code,id=jqgh_jqGrid_website_code,,
Customer ID,id=jqgh_jqGrid_customer_id,,
Email,id=jqgh_jqGrid_email,,
Customer Name,id=jqgh_jqGrid_job_full_name,,
Company Name,id=jqgh_jqGrid_company_name,,
Trade,id=jqgh_jqGrid_trade_flag,,
New/Repeat Order,id=jqgh_jqGrid_order_status,,
Transaction Type,id=jqgh_jqGrid_design,,
Origin,id=jqgh_jqGrid_job_origin,,
Proofing Option,id=jqgh_jqGrid_proofing_option,,
Order Date,id=jqgh_jqGrid_order_datetime,,
Ship By,id=jqgh_jqGrid_due_date,,
Shipped Date,id=jqgh_jqGrid_max_shipped_datetime,,
Shipping Method,id=jqgh_jqGrid_shipping_methods,,
Status,id=jqgh_jqGrid_job_item_status,,
Payment Status,id=jqgh_jqGrid_payment_status,,
Type,id=jqgh_jqGrid_account_type,,
Category,id=jqgh_jqGrid_item_name,,
Size,id=jqgh_jqGrid_size,,
Paper,id=jqgh_jqGrid_paper_material,,
Printed Side,id=jqgh_jqGrid_color,,
Folding,id=jqgh_jqGrid_folding,,
Quantity,id=jqgh_jqGrid_qty,,
Page,id=jqgh_jqGrid_page_qty,,
Weight,id=jqgh_jqGrid_weight,,
Gang No(s).,id=jqgh_jqGrid_gang_nos,,
Amount,id=jqgh_jqGrid_price,,
Item Discount,id=jqgh_jqGrid_product_discount,,
Item Tax,id=jqgh_jqGrid_sales_tax,,
Item Shipping Rate,id=jqgh_jqGrid_shipping_rate,,
Ordered From Shared Item No.,id=jqgh_jqGrid_shared_design_id,,
Shared Item File ID,id=jqgh_jqGrid_shared_job_item_file_id,,
Shared Item Owner CID,id=jqgh_jqGrid_shared_customer_id,,
