column_name,column_location,layout_name,layout_location,,
14,,4,,,
DRID Tracker Code,id=jqgh_jqGrid_campaign_code,job orders table,id=gbox_jqGrid,, 
Customer ID,id=jqgh_jqGrid_customer_id,pagination,css=div.ui-paging-info > strong,,
Email Address,id=jqgh_jqGrid_email,,,,
Transaction Date,id=jqgh_jqGrid_order_datetime,,,,
Order ID,id=jqgh_jqGrid_job_order_id,,,,
Payment Status,id=jqgh_jqGrid_payment_status,,,,
Sub Total,id=jqgh_jqGrid_sub_total,,,,
Discount,id=jqgh_jqGrid_discount,,,,
Sub Total Less Discounts,id=jqgh_jqGrid_sub_total_less_discount,,,,
Tax,id=jqgh_jqGrid_tax,,,,
Shipping Fee,id=jqgh_jqGrid_shipping_total,,,,
Invoice Total,id=jqgh_jqGrid_total_amount,,,,
Items,id=jqgh_jqGrid_item_names,,,,
