element_name_visble,element_location,element_label_name,element_label_location
21,,14,
bread crumbs,css=ol.breadcrumb,Reports,css=ol.breadcrumb > li
Event Sponsorship and NPO Customers report Form,//section[@id='widget-grid']/div/article,Marketing,//div[@id='ribbon']/ol/li[2]
Event Sponsorship and NPO Customers report icon,css=span.widget-icon > i.fa.fa-table,Event Sponsorship and NPO Customers,//div[@id='ribbon']/ol/li[3]
Event Sponsorship and NPO Customers Report label,css=h2,Event Sponsorship and NPO Customers Report,css=h2
from - to date section,css=section.col.col-4,From Date,css=label.label
From date label,css=label.label,To Date,//div[@id='filter']/form/fieldset/div/section/label[3]
From date datepicker,id=start_date,Company,//div[@id='filter']/form/fieldset/div/section[2]/label
To date label,//div[@id='filter']/form/fieldset/div/section/label[3],[Clear],link=[Clear]
To date datepicker,id=end_date,(No Selection = All),css=label.select.select-multiple > em
Company section,//div[@id='filter']/form/fieldset/div/section[2]/label,Customer Type,//div[@id='filter']/form/fieldset/div/section[3]/label
Company label,//div[@id='filter']/form/fieldset/div/section[2]/label,[Clear],"xpath=(//a[contains(text(),'[Clear]')])[2]"
Company multiselect box,id=company_code,(No Selection = All),//div[@id='filter']/form/fieldset/div/section[3]/label[2]/em
clear link,link=[Clear],,
(No Selection = All),css=label.select.select-multiple > em,,
Customer Type section,//div[@id='filter']/form/fieldset/div/section[3],,
Customer Type label,//div[@id='filter']/form/fieldset/div/section[3]/label,,
Customer Type multiselect box,id=customer_flag,,
clear link,"xpath=(//a[contains(text(),'[Clear]')])[2]",,
(No Selection = All),//div[@id='filter']/form/fieldset/div/section[3]/label[2]/em,,
